"DIR";"lat";"long"
"AV. AV. PETIT THOUARS 5100";-12,1134593;-77,0287711
"OV. MIRAFLORES S/N00";-12,1192071;-77,0290816
"CA. CANTUARIAS 200";-12,1214617;-77,0273366
"CA. INDEPENDENCIA 900";-12,1107761;-77,0323882
"MLCON. MLCON. BALTA 900";-12,122254;-77,0302669
"CA. FRANCISCO DE PAULA CAMINO 200";-12,120777;-77,0328727
"AV. PETIT THOUARS 4400";-12,1066119;-77,0299301
"AV. DIEZ CANSECO 700";-12,1216974;-77,0227525
"CA. INDEPENDENCIA 800";-12,1114543;-77,0323768
"CA. TNT. AUGUSTO G. 100";-11,9525836;-77,0492572
"AV. PASEO DE LA REP. 5900";-12,124762;-77,0245581
"CA. DIEZ CANSECO 400";-12,1221174;-77,0272493
"CA. JOSE TORIBIO POLO 300";-12,113744;-77,047592
"CA. GENERAL SUAREZ 100";-12,1532169;-77,0086011
"CA. DOS DE MAYO 300";-12,1179822;-77,0318755
"CA. CORONEL INCLAN 200";-12,1175714;-77,0313923
"CA. CORONEL INCLAN 300";-12,1168319;-77,0312792
"CA. 08 DE OCTUBRE 200";-12,1261756;-77,0038203
"AV. ALFREDO LEON 200";-12,120311;-77,0387942
"CA. MARTIR OLAYA 100";-12,1194391;-77,0302233
"CA. DOS DE MAYO 1100";-12,1179196;-77,039949
"CA. DIEGO FERRE 200";-12,1291825;-77,0330503
"MLCON. BALTA 600";-12,1238848;-77,0329517
"AV. AREQUIPA 4400";-12,1093798;-77,0306709
"CA. DOS DE MAYO 800";-12,1179135;-77,0373407
"AV. ALFREDO LEON 100";-12,1194091;-77,0397369
"AV. OSCAR R. BENAVIDES 200";-12,0666487;-76,9900477
"AV. ANGAMOS OESTE 700";-12,1112608;-76,996176
"CA. COLON 100";-12,1245905;-77,0302856
"CA. ARICA 200";-12,1118361;-77,0357317
"AV. JOSE PARDO 400";-12,1192063;-77,0326451
"AV. ANGAMOS OESTE 1300";-12,1121823;-77,0417498
"CA. JUAN FANNING 100";-12,1279181;-77,0344569
"CA. GENERAL SUAREZ 200";-12,1532169;-77,0086011
"AV. ANGAMOS OESTE 600";-12,1139897;-77,03503
"CA. GENERAL SUAREZ 500";-12,1532169;-77,0086011
"CA. MARISCAL SUCRE 200";-12,0921427;-77,079581
"AV. DE LA AVIACION 300";-12,1209317;-77,0409091
"CA. ELIAS AGUIRRE 200";-12,1181623;-77,0347641
"AV. ANGAMOS OESTE 1600";-12,1105306;-77,044873
"AV. AV. JOSE PARDO 100";-12,1192073;-77,0324071
"AV. PETIT THOUARS 5300";-12,1157852;-77,028371
"CA. J. TORIBIO POLO 300";-12,1215886;-77,0298912
"AV. COMANDANTE ESPINAR 600";-12,1137256;-77,0370141
"CA. INCLAN 200";-12,1175714;-77,0313923
"CA. CONTRALMIRANTE MONTERO 100";-11,9525836;-77,0492572
"CA. GONZALES PRADA 200";-12,1169459;-77,0281424
"AV. COMANDANTE ESPINAR 300";-12,1170016;-77,0370578
"AV. COMANDANTE ESPINAR 500";-12,1145979;-77,0368417
"CA. ALFREDO LEON 200";-12,120311;-77,0387942
"AV. JOSE LARCO 4700";-12,1253554;-77,0294303
"AV. GNRAL CORDOVA 800";-12,1114458;-77,0462117
"CA. ENRIQUE PALACIOS 700";-12,1169307;-77,0357155
"AV. GNRAL CORDOVA 900";-12,1102877;-77,0473841
"CA. ALCANFORES 600";-12,1241656;-77,0278816
"CA. LAS DALIAS 300";-12,1281352;-76,9717311
"AV. MARISCAL OSCAR BENAVIDES 400";-12,0639655;-77,0464143
"CA. JUAN FANNING 600";-12,1303366;-77,0286131
"CA. ANGAMOS OESTE 200";-12,1215886;-77,0298912
"AV. PASEO DE LA REPUBLICA 5600";-12,1202708;-77,0257875
"CA. JOSE CHARIARSE 200";-12,1280367;-77,0208974
"AV. JORGE CHAVEZ 200";-12,1212038;-77,0369262
"CA. ROMA 200";-12,1212815;-77,0379533
"AV. PASEO DE LA REPUBLICA 4700";-12,1126627;-77,0263384
"AV. JOSE PARDO 800";-12,1191343;-77,0373323
"AV. LA MAR 400";-12,0624446;-77,0198067
"CA. ALMTE. MONTERO 300";-12,1215886;-77,0298912
"CA. ALMTE. MONTERO 400";-12,1221564;-77,0302198
"AV. PETIT THOUARS 4900";-12,1113495;-77,0291074
"AV. JORGE CHAVEZ 500";-12,1234062;-77,0370252
"AV. ANGAMOS OESTE 1200";-12,112862;-77,041084
"AV. PASEO DE LA REPUBLICA 4800";-12,1133119;-77,0263498
"CA. ELIAS AGUIRRE 300";-12,11707;-77,0347526
"MLCON CISNEROS 200";-12,1246388;-77,037286
"CA. GNRAL. SUAREZ 700";-12,1532169;-77,0086011
"AV. PASEO DE LA REPUBLICA 5500";-12,1194024;-77,0260816
"CA. CHACALTANA 200";-12,1180347;-77,0401071
"AV. AREQUIPA 3800";-12,0923902;-77,0335459
"CA. GNRAL. MENDIBURU 600";-12,1146479;-77,0455456
"AV. FEDERICO VILLAREAL 400";-12,1119642;-77,0472825
"CA. CHICLAYO 800";-12,1149028;-77,0372112
"AV. ANGAMOS OESTE 1400";-12,1116077;-77,0423231
"AV. LA PAZ 600";-12,1264454;-77,0269568
"CA. GNRAL. MENDIBURU 1000";-12,111613;-77,0485723
"AV. ANGAMOS OESTE 1500";-12,1110146;-77,0431285
"CA. ENRIQUE PALACIOS 100";-12,1169439;-77,0299103
"CA. CHOQUEHUANCA 400";-12,0993961;-77,0340329
